TimeStamp,IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Error Rate,(Window Size)
11981,82912,106553,0.02,-0.02,0.77,88.2353,12,86.7,0,50
12038,118390,106540,0.03,-0.03,1.03,57.6923,,99.8,0,100
12072,118379,106554,0.03,-0.03,1.03,81.0811,,94.8,0,150
12114,118400,106555,0.03,-0.03,1.03,120,,97.1,,
12160,118437,106589,0.03,-0.02,1.04,60,,99.9,,
12227,118485,106600,0.03,-0.02,1.03,28.3019,,97.1,,
12337,118557,106610,0.03,-0.02,1.03,8.547,,99.8,,
12417,118707,106674,0.03,-0.02,1.03,78.9474,,99.1,,
12453,118781,106705,0.03,-0.02,1.04,60,,99.3,,
12505,118821,106731,0.03,-0.03,1.04,54.5455,,99.9,,
12581,118949,106745,0.03,-0.03,1.03,9.6463,,98.9,,
12656,118920,106753,0.03,-0.03,1.04,75,,99.3,,
12716,118845,106721,0.03,-0.03,1.03,107.1429,,99,,
13072,119082,106805,0.03,-0.03,1.04,103.4483,,99.8,,
13112,119108,106822,0.03,-0.02,1.03,120,,100,,
13153,119145,106847,0.03,-0.03,1.04,88.2353,,99.1,,
13199,119168,106849,0.03,-0.03,1.03,90.9091,,99.9,,
13267,119195,106843,0.03,-0.03,1.03,93.75,,99.9,,
13355,119294,106904,0.02,-0.03,1.03,37.9747,,95.9,,
13406,119328,106876,0.03,-0.03,1.03,115.3846,,34.3,,
13475,119381,106905,0.03,-0.03,1.04,38.961,,72.5,,
13543,119534,106956,0.03,-0.03,1.04,43.4783,,99.9,,
13612,119433,106884,0.02,-0.03,1.03,111.1111,,99.7,,
13680,119263,106834,0.03,-0.02,1.03,100,,99.9,,
13748,119241,106817,0.03,-0.02,1.03,120,,94.2,,
13819,119276,106825,0.03,-0.02,1.03,130.4348,,99.9,,
13899,119263,106833,0.03,-0.03,1.03,25.4237,,99.2,,
13958,119282,106824,0.03,-0.02,1.04,115.3846,,-471.6,,
14024,119344,106803,0.03,-0.03,1.03,46.1538,,-8517.2,,
14093,119397,106828,0.02,-0.03,1.03,125,,-3448.9,,
14178,119478,106860,0.03,-0.03,1.03,32.967,,99.7,,
14532,119446,106794,0.03,-0.03,1.03,83.3333,,99.9,,
14572,119393,106797,0.03,-0.03,1.04,47.619,,100,,
14612,119370,106783,0.03,-0.03,1.03,111.1111,,99.9,,
14658,119319,106805,0.03,-0.03,1.03,103.4483,,99.9,,
14730,119307,106775,0.03,-0.03,1.03,44.7761,,99.6,,
14797,119327,106784,0.02,-0.03,1.04,38.961,,99.5,,
14866,119369,106779,0.03,-0.03,1.04,125,,99.9,,
14952,119459,106780,0.02,-0.03,1.03,125,,99.5,,
15008,119493,106805,0.02,-0.03,1.03,47.619,,99.4,,
15072,119525,106836,0.03,-0.03,1.04,46.1538,,99.5,,
15141,119569,106897,0.03,-0.02,1.04,100,,99.6,,
15208,119665,106889,0.03,-0.03,1.04,120,,100,,
16193,119831,106931,0.03,-0.02,1.03,103.4483,,99.7,,
16233,119865,106968,0.02,-0.02,1.04,115.3846,,94.9,,
16273,119905,106954,0.03,-0.03,1.03,43.4783,,99.3,,
16322,119883,106917,0.03,-0.03,1.03,88.2353,,99,,
16389,119711,106866,0.03,-0.02,1.04,125,,99.1,,
16457,119572,106821,0.03,-0.03,1.03,62.5,,97.6,,
16526,119576,106815,0.03,-0.02,1.03,25.2101,,99.9,,
16595,119618,106829,0.03,-0.03,1.04,125,,99.2,,
16665,119600,106812,0.03,-0.03,1.04,81.0811,,99.3,,
16738,119604,106821,0.03,-0.03,1.04,83.3333,,99.6,,
16832,119676,106842,0.03,-0.03,1.04,100,,99.5,,
16914,119723,106881,0.03,-0.02,1.03,19.6078,,100,,
17708,119780,106870,0.03,-0.02,1.03,111.1111,,93.2,,
17753,121397,107575,0.03,-0.02,1.03,75,,99.2,,
17794,121406,107591,0.03,-0.03,1.03,34.8837,,88.5,,
17834,121398,107595,0.02,-0.03,1.03,56.6038,,99.7,,
17885,121441,107642,0.03,-0.03,1.04,103.4483,,100,,
17973,121712,107762,0.03,-0.03,1.03,111.1111,,99,,
18017,121835,107830,0.03,-0.03,1.04,111.1111,,73.7,,
18087,121911,107834,0.03,-0.02,1.03,73.1707,,99.7,,
18155,121788,107795,0.03,-0.03,1.03,90.9091,,77.2,,
18226,121783,107823,0.03,-0.03,1.03,42.8571,,97.3,,
18293,121857,107843,0.03,-0.03,1.04,130.4348,,98.9,,
18362,121984,107896,0.03,-0.03,1.03,136.3636,,72.6,,
18430,122048,107915,0.03,-0.03,1.03,76.9231,,99.9,,
18500,122057,107845,0.03,-0.03,1.04,35.7143,,100,,
18567,122088,107890,0.03,-0.03,1.04,125,,97.6,,
18638,122111,107920,0.03,-0.03,1.04,38.4615,,99.7,,
18708,122430,108141,0.03,-0.02,1.03,115.3846,,98.6,,
18776,122505,108064,0.03,-0.03,1.03,111.1111,,97.8,,
18842,122628,108214,0.03,-0.03,1.03,48.3871,,99.8,,
18936,122986,108401,0.03,-0.03,1.03,41.6667,,99.2,,
18990,122977,108304,0.03,-0.03,1.03,35.2941,,99.7,,
19053,122702,108132,0.03,-0.03,1.03,76.9231,,99.9,,
19118,122119,107807,0.03,-0.02,1.03,65.2174,,99.7,,
19189,121848,107669,0.03,-0.03,1.04,103.4483,,97.1,,
19255,121709,107483,0.03,-0.03,1.03,111.1111,,100,,
19323,121517,107369,0.03,-0.03,1.04,96.7742,,99.2,,
19392,121142,107157,0.02,-0.03,1.03,63.8298,,96.3,,
19462,120960,107083,0.03,-0.03,1.04,107.1429,,100,,
19532,120941,106999,0.03,-0.02,1.04,88.2353,,26.3,,
19599,120349,106655,0.03,-0.03,1.03,115.3846,,88,,
19671,120203,106589,0.03,-0.03,1.03,71.4286,,97.9,,
19736,119786,106546,0.03,-0.02,1.03,107.1429,,99.8,,
19808,119801,106611,0.03,-0.02,1.04,76.9231,,99.9,,
19877,119785,106691,0.03,-0.03,1.04,125,,50.7,,
19943,119662,106757,0.03,-0.03,1.04,150,,99.9,,
20014,119945,106798,0.03,-0.03,1.03,120,,77.5,,
20086,119960,106830,0.02,-0.03,1.03,90.9091,,99.8,,
20148,120011,106788,0.03,-0.03,1.04,100,,99.7,,
20220,120066,106770,0.03,-0.02,1.04,,,99.9,,
20291,119851,106731,0.03,-0.03,1.04,,,99.4,,
20356,119755,106686,0.03,-0.03,1.03,,,99.9,,
20429,119703,106678,0.03,-0.03,1.03,,,99.6,,
20493,119661,106656,0.03,-0.03,1.03,,,99.9,,
20561,119604,106663,0.03,-0.03,1.03,,,99.8,,
20641,119609,106621,0.02,-0.03,1.03,,,99.8,,
20705,119550,106579,0.03,-0.03,1.03,,,100,,
20768,119356,106505,0.03,-0.03,1.03,,,99.9,,
20836,119052,106436,0.03,-0.02,1.04,,,94.5,,
20924,118847,106380,0.03,-0.02,1.03,,,77.4,,
20975,118843,106354,0.03,-0.03,1.03,,,98.5,,
21042,118836,106398,0.03,-0.03,1.04,,,93.8,,
21115,118811,106406,0.03,-0.03,1.03,,,99.9,,
21180,118826,106434,0.03,-0.03,1.03,,,70,,
21249,118884,106460,0.03,-0.03,1.04,,,93,,
21317,118930,106480,0.03,-0.03,1.03,,,98.6,,
21386,118985,106564,0.02,-0.03,1.03,,,99.8,,
21464,119077,106585,0.03,-0.02,1.03,,,99.4,,
21523,119110,106597,0.03,-0.02,1.03,,,99.7,,
21593,119097,106571,0.03,-0.02,1.03,,,98.2,,
21665,118744,106512,0.03,-0.03,1.03,,,99.8,,
21730,118681,106465,0.03,-0.03,1.03,,,-223.4,,
21798,118620,106471,0.02,-0.03,1.04,,,99.5,,
21870,118629,106521,0.02,-0.03,1.04,,,99.8,,
21936,118680,106494,0.02,-0.03,1.03,,,99.6,,
22005,118700,106535,0.03,-0.02,1.04,,,18.4,,
22073,118797,106590,0.03,-0.03,1.03,,,99.5,,
22142,118931,106645,0.03,-0.03,1.04,,,99.6,,
22211,118984,106692,0.03,-0.02,1.04,,,99.9,,
22282,119156,106789,0.03,-0.03,1.03,,,99.8,,
22377,119299,106861,0.03,-0.02,1.04,,,99.6,,
22417,119388,106901,0.03,-0.03,1.04,,,-224.9,,
22489,119375,106870,0.03,-0.03,1.03,,,97.1,,
22556,119126,106827,0.03,-0.03,1.03,,,99.6,,
23469,119052,106795,0.03,-0.03,1.03,,,100,,
23516,119402,106991,0.03,-0.03,1.03,,,99.6,,
23557,119369,106976,0.03,-0.03,1.03,,,99.9,,
23624,119373,106989,0.03,-0.03,1.03,,,99.8,,
23675,119407,106965,0.03,-0.02,1.03,,,99.8,,
23714,119401,106993,0.03,-0.02,1.03,,,41.1,,
23779,119423,107006,0.03,-0.02,1.04,,,99.4,,
23847,119501,107002,0.03,-0.03,1.03,,,99.9,,
23917,119536,107038,0.03,-0.03,1.03,,,99.9,,
23987,119627,107061,0.03,-0.03,1.03,,,99.9,,
25059,119932,107161,0.03,-0.03,1.03,,,99.9,,
25095,119983,107186,0.02,-0.02,1.04,,,99.7,,
25139,119983,107188,0.03,-0.02,1.04,,,89.1,,
25185,119844,107103,0.03,-0.03,1.04,,,96,,
25253,119723,107087,0.03,-0.03,1.03,,,98.6,,
25319,119661,107064,0.03,-0.03,1.03,,,99.9,,
25403,119653,107056,0.03,-0.03,1.04,,,99.9,,
25457,119675,107051,0.03,-0.03,1.04,,,97.6,,
25526,119658,107046,0.03,-0.03,1.03,,,98.6,,
26584,119724,107079,0.03,-0.03,1.04,,,98.9,,
26637,119579,107039,0.03,-0.02,1.03,,,99.9,,
26716,119635,107015,0.03,-0.03,1.03,,,99.9,,
26761,119643,107040,0.03,-0.03,1.03,,,99.8,,
26795,119692,107047,0.03,-0.02,1.04,,,99.6,,
26845,119730,107070,0.03,-0.03,1.04,,,98.5,,
26913,119757,107071,0.03,-0.03,1.03,,,99.4,,
26981,119549,106977,0.03,-0.02,1.04,,,99.9,,
27048,119474,106957,0.03,-0.02,1.03,,,97.3,,
27118,119404,106920,0.03,-0.02,1.03,,,95.7,,
27186,119399,106948,0.03,-0.03,1.03,,,99.7,,
27255,119412,106913,0.03,-0.02,1.03,,,97.8,,
27325,119386,106917,0.03,-0.03,1.04,,,98.3,,
27394,119407,106924,0.03,-0.03,1.03,,,45.2,,
27462,119467,106968,0.03,-0.03,1.03,,,80.1,,
27547,119512,106978,0.03,-0.02,1.03,,,84.7,,
27666,119615,107008,0.03,-0.03,1.03,,,99.3,,
27761,119758,107091,0.03,-0.02,1.03,,,99.8,,
27796,119805,107114,0.03,-0.02,1.03,,,99.6,,
28711,119721,107053,0.03,-0.03,1.03,,,99.2,,
28760,119602,107041,0.02,-0.03,1.03,,,99.5,,
28795,119502,107005,0.03,-0.03,1.03,,,99.6,,
28840,119466,106971,0.03,-0.03,1.03,,,98.8,,
28883,119431,106960,0.03,-0.03,1.03,,,99.9,,
28956,119392,106957,0.03,-0.03,1.03,,,98.6,,
29023,119425,106956,0.03,-0.03,1.04,,,97.8,,
