Time,IR,RED,X,Y,Z,Activity,Heart Rate,Respiration Rate,SPO2,Error Rate,Window Size
38788,103228,109618,0.030024,-0.035028,1.034841,1,31.25,11,99.578,0,100
38828,103422,110092,0.029024,-0.032026,1.034841,1,57.692,14,99.365,,
38868,103573,110512,0.028023,-0.03703,1.03384,1,22.727,11,99.409,,
38908,103781,111305,0.027022,-0.032026,1.032839,1,53.571,14,99.526,,
38948,104033,111724,0.029024,-0.034028,1.040846,1,55.556,14,99.532,,
38987,104141,111941,0.029024,-0.031025,1.037843,1,62.5,12,99.458,,
39028,104136,111981,0.031025,-0.027022,1.03384,1,57.692,13,99.511,,
39068,104186,112024,0.026021,-0.033027,1.029837,1,33.333,,99.542,,
39108,104222,112065,0.026021,-0.028023,1.032839,1,37.5,,99.373,,
39148,104218,112151,0.030024,-0.033027,1.038844,1,53.571,,99.497,,
39188,104259,112290,0.029024,-0.035028,1.035842,1,68.182,,99.525,,
39228,104223,112446,0.030024,-0.033027,1.034841,1,60,,99.502,,
39268,104172,112497,0.027022,-0.035028,1.036842,1,65.217,,99.527,,
39308,104198,112545,0.030024,-0.028023,1.031838,1,44.118,,99.518,,
39347,104174,112568,0.027022,-0.034028,1.034841,1,62.5,,99.46,,
39389,104052,112392,0.030024,-0.03703,1.030838,1,57.692,,99.401,,
39427,103976,112093,0.031025,-0.033027,1.035842,1,55.556,,99.489,,
39467,103878,111864,0.030024,-0.033027,1.034841,1,51.724,,99.403,,
39507,103790,111728,0.033027,-0.033027,1.036842,1,57.692,,99.41,,
39547,103730,111654,0.028023,-0.033027,1.03384,1,53.571,,99.429,,
39588,103697,111624,0.026021,-0.035028,1.03384,1,53.571,,99.388,,
39627,103692,111644,0.030024,-0.033027,1.037843,1,55.556,,-10000,,
39667,103665,111624,0.029024,-0.033027,1.036842,1,57.692,,99.451,,
39708,103647,111599,0.02402,-0.038031,1.037843,1,60,,99.375,,
39748,103632,111608,0.028023,-0.036029,1.037843,1,55.556,,99.378,,
39788,103650,111680,0.032026,-0.035028,1.036842,1,57.692,,99.305,,
39828,103621,111672,0.031025,-0.035028,1.03384,1,62.5,,99.349,,
39867,103630,111727,0.029024,-0.034028,1.032839,1,57.692,,-10000,,
39908,103652,111758,0.028023,-0.035028,1.030838,1,55.556,,99.366,,
39948,103656,111820,0.030024,-0.038031,1.034841,1,57.692,,99.274,,
40075,103677,112006,0.030024,-0.034028,1.037843,1,65.217,,99.377,,
40108,103690,112028,0.032026,-0.035028,1.037843,1,57.692,,99.379,,
40148,103687,112025,0.026021,-0.035028,1.036842,1,60,,99.419,,
40188,103707,112015,0.02502,-0.034028,1.030838,1,60,,99.382,,
40228,103704,112077,0.028023,-0.036029,1.038844,1,60,,99.399,,
40268,103682,111984,0.030024,-0.036029,1.036842,1,60,,99.356,,
40308,103602,111765,0.030024,-0.034028,1.037843,1,60,,-10000,,
40348,103482,111463,0.029024,-0.028023,1.034841,1,60,,-10000,,
40387,103381,111265,0.029024,-0.032026,1.027835,1,34.091,,99.401,,
40428,103309,111130,0.032026,-0.036029,1.03384,1,53.571,,99.503,,
40468,103242,110977,0.034028,-0.038031,1.036842,1,55.556,,99.42,,
40508,103193,110839,0.032026,-0.034028,1.04585,1,62.5,,99.485,,
40548,103144,110801,0.029024,-0.032026,1.037843,1,62.5,,99.379,,
40588,103119,110795,0.031025,-0.033027,1.034841,1,57.692,,99.386,,
40628,103065,110785,0.032026,-0.035028,1.034841,1,55.556,,99.376,,
40668,103063,110808,0.034028,-0.031025,1.038844,1,57.692,,99.357,,
40708,103099,110828,0.030024,-0.031025,1.041847,1,60,,99.314,,
40748,103106,110835,0.030024,-0.028023,1.034841,1,57.692,,99.266,,
40788,103107,110903,0.02502,-0.038031,1.03384,1,53.571,,-10000,,
40828,103092,110931,0.028023,-0.039032,1.037843,1,57.692,,99.314,,
40868,103136,111050,0.029024,-0.032026,1.037843,1,55.556,,99.338,,
40908,103162,111126,0.02502,-0.033027,1.036842,1,55.556,,99.401,,
40948,103171,111198,0.027022,-0.031025,1.037843,1,60,,99.406,,
40988,103189,111238,0.029024,-0.032026,1.037843,1,65.217,,99.416,,
41028,103207,111241,0.031025,-0.034028,1.037843,1,71.429,,99.457,,
41068,103200,111122,0.032026,-0.035028,1.034841,1,39.474,,99.274,,
41108,103123,110835,0.028023,-0.034028,1.031838,1,57.692,,-10000,,
41148,102973,110522,0.030024,-0.036029,1.028836,1,65.217,,99.373,,
41188,102834,110294,0.030024,-0.032026,1.037843,1,65.217,,99.299,,
41228,102748,110113,0.030024,-0.036029,1.03384,1,60,,99.327,,
41268,102676,109956,0.028023,-0.033027,1.037843,1,62.5,,99.391,,
41308,102633,110002,0.028023,-0.028023,1.035842,1,34.091,,99.294,,
41348,102651,110059,0.030024,-0.032026,1.03384,1,57.692,,99.282,,
41388,102666,110000,0.033027,-0.03703,1.034841,1,62.5,,99.327,,
41428,102662,110054,0.030024,-0.035028,1.036842,1,71.429,,99.331,,
41468,102658,110061,0.029024,-0.036029,1.036842,1,75,,99.366,,
41508,102654,110086,0.032026,-0.039032,1.037843,1,62.5,,99.311,,
41548,102662,110118,0.027022,-0.036029,1.040846,1,65.217,,99.409,,
41588,102679,110182,0.023019,-0.035028,1.031838,1,40.541,,99.443,,
41627,102704,110262,0.027022,-0.034028,1.031838,1,60,,99.276,,
41668,102735,110441,0.02502,-0.031025,1.030838,1,65.217,,99.331,,
41708,102765,110580,0.032026,-0.033027,1.026834,1,60,,99.315,,
41748,102802,110650,0.030024,-0.035028,1.035842,1,71.429,,99.377,,
41788,102821,110683,0.028023,-0.032026,1.038844,1,62.5,,99.266,,
41829,102862,110807,0.028023,-0.033027,1.03384,1,34.884,,-10000,,
41868,102908,110846,0.030024,-0.039032,1.03384,1,62.5,,99.379,,
41908,102836,110646,0.027022,-0.033027,1.034841,1,71.429,,99.399,,
41948,102720,110250,0.031025,-0.030024,1.035842,1,62.5,,99.418,,
41988,102567,109910,0.029024,-0.032026,1.034841,1,38.462,,99.312,,
42028,102449,109677,0.029024,-0.03703,1.032839,1,65.217,,99.387,,
42189,102232,109354,0.023019,-0.033027,1.035842,1,65.217,,99.399,,
42228,102228,109330,0.027022,-0.036029,1.03384,1,60,,99.362,,
42268,102227,109339,0.026021,-0.035028,1.040846,1,62.5,,99.31,,
42308,102254,109378,0.030024,-0.034028,1.031838,1,68.182,,99.379,,
42348,102285,109487,0.029024,-0.033027,1.037843,1,68.182,,99.412,,
42389,102330,109667,0.032026,-0.035028,1.037843,1,60,,99.357,,
42429,102379,109833,0.028023,-0.033027,1.034841,1,62.5,,99.404,,
42469,102429,110046,0.02402,-0.036029,1.040846,1,65.217,,99.39,,
42509,102482,110221,0.027022,-0.034028,1.036842,1,75,,99.38,,
42548,102560,110386,0.029024,-0.034028,1.036842,1,62.5,,99.43,,
42588,102567,110512,0.031025,-0.035028,1.035842,1,57.692,,99.317,,
42628,102609,110628,0.032026,-0.035028,1.030838,1,62.5,,99.451,,
42668,102654,110702,0.031025,-0.032026,1.030838,1,65.217,,99.36,,
42708,102680,110788,0.029024,-0.035028,1.034841,1,62.5,,99.294,,
42748,102720,110860,0.027022,-0.036029,1.034841,1,62.5,,-10000,,
42788,102757,110921,0.030024,-0.03703,1.036842,1,62.5,,99.336,,
42828,102786,110950,0.033027,-0.032026,1.03384,1,57.692,,99.391,,
42868,102760,110766,0.030024,-0.036029,1.036842,1,57.692,,99.338,,
42908,102598,110421,0.027022,-0.033027,1.037843,1,62.5,,98.988,,
42949,102490,110175,0.031025,-0.034028,1.036842,1,57.692,,99.339,,
42989,102415,110031,0.029024,-0.035028,1.035842,1,55.556,,99.371,,
43029,102341,109882,0.030024,-0.031025,1.03384,1,57.692,,99.284,,
43069,102284,109802,0.031025,-0.034028,1.036842,1,68.182,,99.455,,
43109,102238,109753,0.032026,-0.035028,1.036842,1,62.5,,-10000,,
43148,102232,109737,0.029024,-0.036029,1.031838,1,65.217,,99.414,,
43188,102221,109768,0.028023,-0.036029,1.034841,1,65.217,,99.41,,
43228,102250,109814,0.026021,-0.030024,1.035842,1,48.387,,99.31,,
43268,102270,109844,0.027022,-0.033027,1.036842,1,46.875,,99.374,,
43308,102306,109921,0.030024,-0.034028,1.035842,1,71.429,,99.399,,
43348,102326,110012,0.026021,-0.035028,1.036842,1,68.182,,99.378,,
43388,102360,110086,0.030024,-0.035028,1.034841,1,71.429,,99.408,,
43429,102373,110207,0.028023,-0.035028,1.037843,1,62.5,,99.34,,
43468,102430,110310,0.030024,-0.035028,1.041847,1,60,,99.355,,
43508,102482,110406,0.030024,-0.03703,1.038844,1,62.5,,99.355,,
43548,102486,110525,0.031025,-0.036029,1.039845,1,48.387,,99.21,,
43589,102458,110609,0.027022,-0.032026,1.037843,1,45.455,,99.34,,
43629,102464,110700,0.028023,-0.035028,1.034841,1,65.217,,99.334,,
43669,102532,110836,0.028023,-0.034028,1.032839,1,57.692,,99.192,,
43709,102560,110925,0.028023,-0.035028,1.034841,1,60,,99.365,,
43748,102595,110998,0.02502,-0.035028,1.036842,1,57.692,,98.848,,
43788,102625,111055,0.02502,-0.036029,1.034841,1,41.667,,99.548,,
43828,102600,110877,0.029024,-0.032026,1.032839,1,48.387,,99.463,,
43868,102500,110636,0.031025,-0.033027,1.03384,1,53.571,,99.546,,
