Time,IR,Red,X,Y,Z,Activity,Heart Rate,Respiration Rate,SPO2,Error Rate,Window Size
21392,100411,105827,-0.176143,0.478389,0.891725,2,75,13,99.387,0,100
21431,100496,106027,-0.186151,0.474385,0.895728,2,65.217,13,99.178,,
21471,100533,106285,-0.180146,0.478389,0.904735,2,60,13,99.015,,
21511,100651,106492,-0.177144,0.477388,0.907738,2,34.091,12,99.04,,
21552,100756,106707,-0.179146,0.476387,0.903734,2,60,13,98.876,,
21592,100822,106890,-0.186151,0.475386,0.896729,2,60,12,99.365,,
21632,100896,107017,-0.187152,0.484394,0.892725,2,60,13,99.403,,
21671,100992,107150,-0.182148,0.483393,0.889723,2,62.5,,99.55,,
21711,101048,107242,-0.18415,0.481391,0.893726,2,55.556,,99.571,,
21751,101075,107320,-0.181147,0.47939,0.894727,2,60,,99.549,,
21791,101110,107420,-0.183149,0.487396,0.893726,2,68.182,,99.507,,
21832,101143,107486,-0.181147,0.485394,0.891725,2,68.182,,99.602,,
21872,101190,107606,-0.181147,0.486395,0.890724,2,57.692,,99.529,,
21911,101227,107697,-0.180146,0.489398,0.887721,2,62.5,,99.506,,
21952,101179,107214,-0.180146,0.477388,0.881716,2,68.182,,99.55,,
21991,100841,105962,-0.186151,0.48039,0.892725,2,65.217,,99.559,,
22031,100257,104606,-0.18415,0.48039,0.89873,2,50,,99.525,,
22071,99822,104194,-0.18415,0.478389,0.890724,2,42.857,,99.535,,
22112,99819,104306,-0.183149,0.466379,0.894727,2,38.462,,99.514,,
22152,99873,104502,-0.181147,0.474385,0.897729,2,44.118,,99.439,,
22192,99983,104748,-0.182148,0.476387,0.89873,2,50,,99.474,,
22232,100093,104843,-0.180146,0.474385,0.896729,2,46.875,,99.488,,
22272,100078,104711,-0.180146,0.475386,0.895728,2,57.692,,99.482,,
22313,100012,104618,-0.179146,0.473385,0.901733,2,62.5,,99.482,,
22353,99992,104645,-0.180146,0.471383,0.906737,2,41.667,,99.49,,
22393,100055,104855,-0.179146,0.46738,0.906737,2,53.571,,99.538,,
22432,100099,105068,-0.179146,0.470382,0.902733,2,65.217,,99.522,,
22472,100189,105279,-0.181147,0.463377,0.905736,2,62.5,,99.535,,
22512,100313,105406,-0.180146,0.463377,0.900732,2,57.692,,99.48,,
22552,100367,105523,-0.175142,0.463377,0.903734,2,60,,99.49,,
22593,100420,105732,-0.180146,0.466379,0.900732,2,34.884,,99.503,,
22632,100491,105897,-0.178145,0.465378,0.899731,2,55.556,,99.452,,
22672,100577,106006,-0.178145,0.464377,0.908738,2,60,,99.475,,
22712,100571,106161,-0.175142,0.459373,0.906737,2,62.5,,99.475,,
22752,100634,106267,-0.174142,0.462376,0.905736,2,65.217,,99.476,,
22793,100738,106451,-0.178145,0.459373,0.908738,2,55.556,,99.475,,
22832,100778,106608,-0.176143,0.464377,0.908738,2,60,,99.519,,
22873,100865,106544,-0.176143,0.465378,0.906737,2,38.462,,99.494,,
22913,100630,105466,-0.173141,0.450366,0.900732,2,46.875,,99.493,,
22952,100013,103901,-0.17214,0.448364,0.908738,2,50,,99.561,,
22993,99494,103232,-0.176143,0.457372,0.918747,2,44.118,,99.113,,
23032,99371,103220,-0.173141,0.454369,0.912742,2,62.5,,99.467,,
23073,99398,103294,-0.17214,0.448364,0.911741,2,62.5,,99.322,,
23113,99416,103340,-0.17214,0.456371,0.913742,2,60,,99.439,,
23153,99487,103567,-0.175142,0.461375,0.906737,2,34.884,,99.466,,
23193,99572,103658,-0.175142,0.451367,0.905736,2,55.556,,99.444,,
23233,99567,103575,-0.176143,0.452368,0.907738,2,60,,99.345,,
23273,99564,103652,-0.174142,0.45537,0.912742,2,57.692,,99.356,,
23313,99597,103746,-0.177144,0.452368,0.913742,2,57.692,,99.349,,
23437,99858,104375,-0.166135,0.45537,0.904735,2,57.692,,-10000,,
23473,99951,104594,-0.170138,0.454369,0.906737,2,62.5,,99.414,,
23513,100035,104790,-0.168137,0.453368,0.909739,2,57.692,,99.435,,
23553,100085,104949,-0.17214,0.454369,0.91074,2,57.692,,99.337,,
23593,100133,105068,-0.173141,0.453368,0.903734,2,62.5,,99.534,,
23634,100235,105321,-0.177144,0.459373,0.914743,2,60,,99.606,,
23673,100390,105584,-0.175142,0.459373,0.911741,2,60,,99.354,,
23713,100489,105778,-0.175142,0.454369,0.908738,2,60,,99.376,,
23753,100534,105909,-0.17214,0.453368,0.911741,2,57.692,,99.48,,
23793,100594,106037,-0.171139,0.452368,0.91074,2,60,,99.517,,
23834,100643,106165,-0.173141,0.460374,0.909739,2,65.217,,99.468,,
23873,100636,106083,-0.173141,0.463377,0.904735,2,62.5,,99.493,,
23913,100444,104980,-0.173141,0.447364,0.904735,2,55.556,,99.467,,
23953,99824,103480,-0.171139,0.450366,0.911741,2,57.692,,99.481,,
23994,99380,103097,-0.176143,0.458372,0.918747,2,60,,99.514,,
24034,99375,103292,-0.171139,0.452368,0.908738,2,60,,99.563,,
24074,99474,103562,-0.174142,0.450366,0.905736,2,57.692,,99.541,,
24114,99652,104118,-0.175142,0.460374,0.914743,2,62.5,,99.54,,
24154,99963,104950,-0.176143,0.460374,0.912742,2,57.692,,99.597,,
24193,100332,105757,-0.171139,0.458372,0.902733,2,62.5,,99.522,,
24233,100628,106337,-0.17214,0.458372,0.907738,2,60,,99.519,,
24274,100751,106699,-0.175142,0.462376,0.904735,2,62.5,,99.574,,
24314,100900,106922,-0.174142,0.461375,0.91074,2,60,,99.468,,
24354,101002,107166,-0.177144,0.462376,0.909739,2,62.5,,99.453,,
