Time,IR,Red,X,Y,Z,Activity,Heart Rate,Respiration Rate,SPO2,Error Rate,Window Size
43821,102449,111499,0.027022,0.003002,1.037843,3,32.609,12,-283.59,0,100
43862,102409,111248,0.030024,0.001001,1.035842,3,68.182,12,99.44,,
43902,102280,110939,0.033027,0,1.032839,3,60,13,99.541,,
43942,102187,110765,0.032026,0.002002,1.036842,3,32.609,13,99.608,,
43982,102098,110702,0.029024,-0.004003,1.035842,3,46.875,13,99.53,,
44022,102103,110746,0.028023,0.002002,1.030838,3,45.455,12,99.455,,
44062,102162,110830,0.026021,0.001001,1.027835,3,32.609,12,99.476,,
44102,102198,110815,0.027022,0.004003,1.031838,3,9.6774,,99.515,,
44141,102184,110776,0.02402,0.001001,1.031838,3,62.5,,99.487,,
44182,102154,110792,0.02402,-0.006005,1.034841,3,53.571,,73.153,,
44221,102183,110834,0.027022,0.006005,1.03384,3,48.387,,73.158,,
44262,102156,110860,0.029024,0,1.034841,3,65.217,,73.274,,
44302,102200,110936,0.028023,0.004003,1.029837,3,33.333,,73.284,,
44342,102236,111006,0.02402,0.005004,1.031838,3,55.556,,73.177,,
44382,102268,111063,0.029024,0,1.030838,3,75,,73.163,,
44422,102244,111023,0.029024,0,1.035842,3,55.556,,73.111,,
44462,102259,111047,0.029024,0.002002,1.035842,3,37.5,,73.057,,
44502,102270,111070,0.031025,0,1.032839,3,29.412,,73.076,,
44542,102257,111044,0.030024,0,1.03384,3,62.5,,73.041,,
44582,102252,111123,0.031025,0,1.034841,3,51.724,,72.911,,
44622,102277,111185,0.032026,0.003002,1.031838,3,24.59,,72.937,,
44662,102287,111237,0.031025,-0.001001,1.030838,3,18.75,,73.034,,
44702,102282,111281,0.027022,0.003002,1.034841,3,71.429,,72.958,,
44742,102285,111248,0.030024,0,1.034841,3,36.585,,73.014,,
44782,102270,111039,0.029024,0,1.034841,3,37.5,,72.954,,
44822,102167,110666,0.027022,0,1.032839,3,22.059,,73.038,,
44862,102032,110420,0.029024,0.002002,1.036842,3,65.217,,73.054,,
44903,101992,110449,0.032026,0.003002,1.031838,3,65.217,,72.756,,
44942,101996,110504,0.029024,-0.002002,1.029837,3,65.217,,72.819,,
44982,101980,110520,0.029024,0.004003,1.026834,3,68.182,,72.85,,
45022,101970,110533,0.030024,-0.001001,1.035842,3,60,,72.95,,
45062,101958,110483,0.029024,-0.003002,1.037843,3,18.75,,72.767,,
45102,101950,110411,0.026021,0.005004,1.035842,3,62.5,,72.639,,
45142,101932,110383,0.028023,0.001001,1.036842,3,35.714,,72.861,,
45183,101952,110461,0.02502,0.001001,1.032839,3,31.915,,72.596,,
45223,101962,110488,0.028023,0.004003,1.027835,3,60,,73.073,,
45262,102008,110556,0.026021,0.005004,1.032839,3,60,,72.996,,
45302,102006,110593,0.026021,0.001001,1.032839,3,42.857,,72.98,,
45342,102006,110620,0.029024,0,1.036842,3,57.692,,1.7525,,
